iter	Passed	Remaining
1139	13425	45458
1140	13436	45444
1141	13448	45433
1142	13459	45419
1143	13471	45406
1144	13483	45395
1145	13494	45382
1146	13506	45370
1147	13518	45358
1148	13530	45347
1149	13540	45332
1150	13552	45321
1151	13563	45306
1152	13575	45295
1153	13587	45284
1154	13599	45272
1155	13610	45259
1156	13622	45246
1157	13633	45233
1158	13645	45221
1159	13656	45209
1160	13669	45199
1161	13681	45189
1162	13693	45176
1163	13705	45167
1164	13718	45158
1165	13731	45153
1166	13745	45147
1167	13760	45144
1168	13773	45137
1169	13787	45132
1170	13798	45120
1171	13812	45113
1172	13826	45111
1173	13841	45109
1174	13856	45108
1175	13871	45106
1176	13883	45093
1177	13894	45079
1178	13906	45070
1179	13917	45054
1180	13927	45038
1181	13939	45025
1182	13949	45008
1183	13960	44992
1184	13972	44982
1185	13982	44966
1186	13993	44951
1187	14004	44936
1188	14015	44921
1189	14026	44907
1190	14038	44895
1191	14050	44885
1192	14063	44876
1193	14074	44865
1194	14086	44854
1195	14097	44839
1196	14110	44829
1197	14123	44822
1198	14136	44816
1199	14148	44804
1200	14161	44795
1201	14175	44792
1202	14187	44779
1203	14201	44773
1204	14213	44764
1205	14226	44755
1206	14239	44746
1207	14251	44736
1208	14265	44732
1209	14279	44726
1210	14292	44719
1211	14306	44712
1212	14321	44712
1213	14336	44710
1214	14350	44703
1215	14362	44693
1216	14376	44688
1217	14389	44680
1218	14402	44673
1219	14416	44667
1220	14428	44657
1221	14442	44650
1222	14455	44643
1223	14466	44629
1224	14478	44618
1225	14491	44610
1226	14503	44599
1227	14516	44590
1228	14531	44587
1229	14543	44574
1230	14554	44563
1231	14567	44553
1232	14578	44538
1233	14591	44529
1234	14602	44518
1235	14615	44508
1236	14628	44498
1237	14640	44488
1238	14651	44474
1239	14663	44462
1240	14675	44451
1241	14686	44439
1242	14698	44426
1243	14709	44412
1244	14720	44397
1245	14731	44382
1246	14742	44367
1247	14752	44352
1248	14765	44343
1249	14780	44340
1250	14792	44329
1251	14806	44323
1252	14820	44318
1253	14833	44309
1254	14845	44299
1255	14859	44295
1256	14871	44281
1257	14883	44272
1258	14899	44273
1259	14914	44271
1260	14929	44268
1261	14945	44267
